UId,Id,No,World,GuildId,GuildName,Name,ForceValue,VC,VirtualityFormation,VFCNum,GBGroupId,Delete

# Oblivion
600101,612124414006,1,6,6001,"Oblivion","ペキン",0,0,6,0,0,0
600102,298583922006,2,6,6001,"Oblivion","YUNACHI",0,0,6,0,0,0
600103,441488902006,3,6,6001,"Oblivion","Ryon",0,0,2,0,0,0
600104,156988903006,4,6,6001,"Oblivion","冬雪",0,0,4,0,0,0
600105,556404028006,5,6,6001,"Oblivion","南條",0,0,4,0,0,0
600106,498981401006,6,6,6001,"Oblivion","ふぶっきー",0,0,4,0,0,0
600107,357544709006,8,6,6001,"Oblivion","あるく",0,0,1,0,0,0
600108,412923390006,8,6,6001,"Oblivion","アイーダ",0,0,2,0,0,0
600109,783291389006,9,6,6001,"Oblivion","アキ",0,0,2,0,0,0
600110,256934199006,10,6,6001,"Oblivion","wilg",0,0,2,0,0,0
600111,861278070006,11,6,6001,"Oblivion","ナドゥ",0,0,2,0,0,0
600112,314197392006,12,6,6001,"Oblivion","めるち",0,0,2,0,0,0
600113,843010915006,13,6,6001,"Oblivion","Alter",0,0,1,0,0,0
600114,658712008006,14,6,6001,"Oblivion","プリズム",0,0,1,0,0,0
600115,298650843006,15,6,6001,"Oblivion","しゅーくりーむ",0,0,1,0,0,0
600116,357783844006,16,6,6001,"Oblivion","べる",0,0,1,0,0,0
600117,335991674006,18,6,6001,"Oblivion","oakley",0,0,2,0,0,0
600118,939018943006,18,6,6001,"Oblivion","スザク",0,0,1,0,0,0
600119,546644525006,19,6,6001,"Oblivion","しょぼんいわし",0,0,1,0,0,0
600120,677003855006,20,6,6001,"Oblivion","ハイ・シャルタット",0,0,1,0,0,0
600121,156756986006,21,6,6001,"Oblivion","葵蘭穂花",0,0,1,0,0,0
600122,759794163006,22,6,6001,"Oblivion","ちぃ",0,0,1,0,0,0
600123,191178573006,23,6,6001,"Oblivion","アルタムエンゼル",0,0,6,0,0,0
600124,162703097006,24,6,6001,"Oblivion","ゴリラ丸",0,0,1,0,0,0
600125,940257439006,25,6,6001,"Oblivion","おびたん",0,0,1,0,0,0
600126,829035100006,26,6,6001,"Oblivion","はる",0,0,1,0,0,0
600127,316109224006,28,6,6001,"Oblivion","なん(美少女)",0,0,4,0,0,0
600128,484866679006,28,6,6001,"Oblivion","レーゼ",0,0,4,0,0,0
600129,996788201006,29,6,6001,"Oblivion","兵頭和尊",0,0,6,0,0,0
600130,926441318006,30,6,6001,"Oblivion","イクヤ",0,0,4,0,0,0
600131,839891806006,31,6,6001,"Oblivion","ぴー",0,0,6,0,0,0
600132,609173210006,32,6,6001,"Oblivion","ニャンダフル",0,0,4,0,0,0
600133,775461320006,33,6,6001,"Oblivion","瞬空亭ちぇるし",0,0,6,0,0,0
600134,963198445006,34,6,6001,"Oblivion","トミ",0,0,4,0,0,0
600135,690330368006,35,6,6001,"Oblivion","toru",0,0,6,0,0,0
600136,896581423006,36,6,6001,"Oblivion","アル",0,0,6,0,0,0
600137,766824381006,38,6,6001,"Oblivion","Mol",0,0,4,0,0,0
600138,927985619006,38,6,6001,"Oblivion","福福マン",0,0,6,0,0,0
600139,656828498006,39,6,6001,"Oblivion","haya",0,0,6,0,0,0
600140,734521594006,40,6,6001,"Oblivion","あやめ",0,0,2,0,0,0
600141,836813942006,41,6,6001,"Oblivion","下心",0,0,2,0,0,0
600142,621590726006,42,6,6001,"Oblivion","dango",0,0,2,0,0,0
600143,165140225006,43,6,6001,"Oblivion","ミネルヴァ",0,0,1,0,0,0
600144,256211187006,44,6,6001,"Oblivion","GALE",0,0,2,0,0,0
600145,208890425006,45,6,6001,"Oblivion","Monia",0,0,2,0,0,0
600146,939631118006,46,6,6001,"Oblivion","ぼぇ",0,0,2,0,0,0
600147,273310171006,47,6,6001,"Oblivion","ししゃも",0,0,1,0,0,0
600148,775349171006,48,6,6001,"Oblivion","たまねぎ",0,0,1,0,0,0
600149,340682462006,49,6,6001,"Oblivion","かずモコ",0,0,1,0,0,0
600150,751310225006,50,6,6001,"Oblivion","霧島",0,0,1,0,0,0
