Id,FormationId,PlayerId,SortNo,Name,Rarity,Level,ForceValue,SpeedRune1,SpeedRune2,SpeedRune3,PiercingRune1,PiercingRune2,PiercingRune3,LRNum,URNum,SSRNum,SRNum,RNum,EWeapon
# 仮想編成用
# コルパ、フロパ
1404,-1,-1,1,"[天泣の魔女]ルサールカ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,-1,-1,2,"ミミ",9,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,-1,-1,3,"マーリン",14,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,-1,-1,4,"コルディ",14,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,-1,-1,5,"プリマヴェーラ",10,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,-2,-1,1,"アムレート",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,-2,-1,2,"フェンリル",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,-2,-1,3,"フローレンス",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,-2,-1,4,"ソルティーナ",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,-2,-1,5,"[骸晶の魔女]オフィーリア",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,-3,-1,1,"ニーナ",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,-3,-1,2,"フィアー",8,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,-3,-1,3,"ディアン",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,-3,-1,4,"フレイシア",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,-3,-1,5,"アモール",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,-4,-1,1,"メルティーユ",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,-4,-1,2,"レア",7,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,-4,-1,3,"リーン",8,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,-4,-1,4,"シフォン",8,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,-4,-1,5,"サブリナ",10,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,-5,-1,1,"リシェス",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,-5,-1,2,"[墓守の夏休み]モーザ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,-5,-1,3,"トロポン",12,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,-5,-1,4,"ハトホル",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,-5,-1,5,"オリヴィエ",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,-6,-1,1,"[聖剣の魔女]フォルティナ",9,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,-6,-1,2,"[却火の魔女]ヴァルリーデ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,-6,-1,3,"[英霊の魔女]アームストロング",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,-6,-1,4,"[雪幻の魔女]ルナリンド",8,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,-6,-1,5,"[錆鉄の魔女]A.A.",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,-7,-1,1,"ペトラ",3,160,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,-7,-1,2,"アイビー",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,-7,-1,3,"[弔花の魔女]ナターシャ",4,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,-7,-1,4,"[雷啼の魔女]ケロベロス",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,-7,-1,5,"[聖槍の魔女]エルフリンデ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,-8,-1,1,"テオドラ",3,160,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,-8,-1,2,"プリシラ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,-8,-1,3,"[夏の残響]コルディ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,-8,-1,4,"アーティ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,-8,-1,5,"ベル",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,-9,-1,1,"アイリス",5,160,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,-9,-1,2,"モーザ",12,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,-9,-1,3,"ロキ",5,160,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,-9,-1,4,"ステラ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,-9,-1,5,"イリア",5,160,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,-10,-1,1,"スクルド",2,160,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,-10,-1,2,"ウィーラ",2,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,-10,-1,3,"カロル",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,-10,-1,4,"チェルナ",4,160,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,-10,-1,5,"ソテイラ",2,160,0,0,0,0,0,0,0,0,0,0,0,0,0
# 両軸(コル・フロなど)
1203,-10001,-2,1,"コルディ",14,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,-10001,-2,2,"マーリン",14,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,-10001,-2,3,"フローレンス",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,-10001,-2,4,"ミミ",9,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,-10001,-2,5,"プリマヴェーラ",10,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,-10002,-2,1,"[天泣の魔女]ルサールカ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,-10002,-2,2,"アムレート",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,-10002,-2,3,"フェンリル",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,-10002,-2,4,"ソルティーナ",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,-10002,-2,5,"[骸晶の魔女]オフィーリア",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,-10003,-2,1,"ニーナ",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,-10003,-2,2,"フィアー",8,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,-10003,-2,3,"ディアン",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,-10003,-2,4,"フレイシア",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,-10003,-2,5,"アモール",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,-10004,-2,1,"メルティーユ",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,-10004,-2,2,"レア",7,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,-10004,-2,3,"リーン",8,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,-10004,-2,4,"シフォン",8,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,-10004,-2,5,"サブリナ",10,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,-10005,-2,1,"リシェス",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,-10005,-2,2,"[墓守の夏休み]モーザ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,-10005,-2,3,"トロポン",12,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,-10005,-2,4,"ハトホル",13,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,-10005,-2,5,"オリヴィエ",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,-10006,-2,1,"[聖剣の魔女]フォルティナ",9,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,-10006,-2,2,"[却火の魔女]ヴァルリーデ",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,-10006,-2,3,"[英霊の魔女]アームストロング",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,-10006,-2,4,"[雪幻の魔女]ルナリンド",8,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,-10006,-2,5,"[錆鉄の魔女]A.A.",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,-10007,-2,1,"ペトラ",3,160,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,-10007,-2,2,"アイビー",11,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,-10007,-2,3,"[弔花の魔女]ナターシャ",4,340,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,-10007,-2,4,"[雷啼の魔女]ケロベロス",3,340,0,0,0,0,0,0,0,0,0,0,0,0,0
